property_key,tower_status,address,property_name,organization,geo_id,equipment_types,commercial_signals,tower_lifecycle_events,recent_tower_lifecycle_events_365d,commercial_disposition,permit_project_keys,recent_permit_project_keys_365d,renewal_priorities,latest_source_event_date,source_active_permit_record,recent_source_active_permit_activity_365d,latest_recent_permit_activity_date,rentsafe,source_keys,evidence_count
toronto-geoid:870176,NO_TOWER_ASSERTION,720 SPADINA AVE,,,870176,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-25,True,False,,,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:7570431,NO_TOWER_ASSERTION,816 LOGAN AVE,,,7570431,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2022-02-09,True,False,,,"[""toronto_building_permits_active""]",3
toronto-geoid:30025476,NO_TOWER_ASSERTION,9 LESLIE ST,,,30025476,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-06-04,True,False,,,"[""toronto_building_permits_active""]",2
toronto-geoid:367187,NO_TOWER_ASSERTION,9 NEILSON RD,,,367187,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-01-09,True,False,,,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:828395,NO_TOWER_ASSERTION,905 KING ST W,,,828395,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2023-01-19,True,False,,,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",3
toronto-geoid:13503978,NO_TOWER_ASSERTION,941 PROGRESS AVE,,,13503978,"[""chiller""]","[""SOURCE_ACTIVE_MECHANICAL_PERMIT"",""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-06-18,True,False,,,"[""toronto_building_permits_active"",""toronto_building_permits_cleared""]",2
toronto-geoid:364214,NO_TOWER_ASSERTION,10 MILNER BUSINESS CRT,,,364214,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-08-26,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:1031968,NO_TOWER_ASSERTION,10 SHORNCLIFFE RD,,,1031968,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:1008107,NO_TOWER_ASSERTION,101 HUMBER COLLEGE BLVD,,,1008107,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-03-15,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:3232917,NO_TOWER_ASSERTION,115 GOWAN AVE,,,3232917,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2021-07-07,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:772675,NO_TOWER_ASSERTION,117 BLOOR ST E,,,772675,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:11267781,NO_TOWER_ASSERTION,122 ARROW RD,,,11267781,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:3147705,NO_TOWER_ASSERTION,123 EASTSIDE DR,,,3147705,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-05-24,False,False,,,"[""toronto_building_permits_cleared""]",3
toronto-geoid:6275805,NO_TOWER_ASSERTION,123 GARRATT BLVD,,,6275805,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-08-01,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:856376,NO_TOWER_ASSERTION,123 QUEEN ST W,,,856376,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-07-30,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7793159,NO_TOWER_ASSERTION,150 COLLEGE ST,,,7793159,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-07-14,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7792536,NO_TOWER_ASSERTION,150 GERRARD ST W,,,7792536,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:8344802,NO_TOWER_ASSERTION,151 KING ST E,,,8344802,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-12-20,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:30044709,NO_TOWER_ASSERTION,160 FRONT ST W,,,30044709,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-05-19,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:11835376,NO_TOWER_ASSERTION,2 SHEPPARD AVE E,,,11835376,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-07-07,False,False,,,"[""toronto_building_permits_cleared""]",4
toronto-geoid:11901996,NO_TOWER_ASSERTION,20 EGLINTON AVE W,,,11901996,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-12-11,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7792529,NO_TOWER_ASSERTION,200 ELIZABETH ST,,,7792529,"[""chiller"",""condenser_water""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-01-02,False,False,,,"[""toronto_building_permits_cleared""]",5
toronto-geoid:7683835,NO_TOWER_ASSERTION,218 CARLTON ST,,,7683835,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-06-10,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:8087336,NO_TOWER_ASSERTION,222 BAY ST,,,8087336,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-08-23,False,False,,,"[""toronto_building_permits_cleared""]",6
toronto-geoid:11484425,NO_TOWER_ASSERTION,2235 SHEPPARD AVE E,,,11484425,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2023-03-23,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:8896615,NO_TOWER_ASSERTION,262 RIDLEY BLVD,,,8896615,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,"{""source_key"":""toronto_apartment_building_registration"",""source_url"":""https://open.toronto.ca/dataset/apartment-building-registration/"",""rsn"":""4154674"",""site_address"":""262 RIDLEY BLVD"",""postal_code"":""M5M"",""property_management_company"":""GREENWIN CORP."",""property_type"":""SOCIAL HOUSING"",""confirmed_storeys"":8,""confirmed_units"":111,""year_built"":1992,""year_registered"":2017,""air_conditioning_type"":""CENTRAL AIR"",""heating_type"":""FORCED AIR GAS"",""heating_equipment_status"":""REPLACED"",""heating_equipment_year_installed"":2012,""date_of_last_inspection_by_tssa"":""JAN 29, 2015"",""tssa_test_records"":""YES"",""cooling_room"":null,""match_basis"":""EXACT_CANONICAL_MUNICIPAL_ADDRESS"",""canonical_address"":""262 RIDLEY BLVD""}","[""toronto_building_permits_cleared""]",1
toronto-geoid:10011100,NO_TOWER_ASSERTION,30 DEE AVE,,,10011100,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2022-03-14,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:10536994,NO_TOWER_ASSERTION,300 LESMILL RD,,,10536994,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7063055,NO_TOWER_ASSERTION,310 HUMBERLINE DR,,,7063055,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:8676866,NO_TOWER_ASSERTION,33 YONGE ST,,,8676866,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-02-12,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:12601206,NO_TOWER_ASSERTION,345 RUMSEY RD,,,12601206,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-12-05,False,False,,,"[""toronto_building_permits_cleared""]",3
toronto-geoid:514036,NO_TOWER_ASSERTION,35 FAIRVIEW MALL DR,,,514036,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-06-18,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:14601300,NO_TOWER_ASSERTION,380 THE WEST MALL,,,14601300,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-05-22,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:5573901,NO_TOWER_ASSERTION,384 MOUNT PLEASANT RD,,,5573901,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2021-02-17,False,False,,"{""source_key"":""toronto_apartment_building_registration"",""source_url"":""https://open.toronto.ca/dataset/apartment-building-registration/"",""rsn"":""4153760"",""site_address"":""384 MOUNT PLEASANT RD"",""postal_code"":""M4S"",""property_management_company"":""TORONTO COMMUNITY HOUSING CORPORATION"",""property_type"":""TCHC"",""confirmed_storeys"":8,""confirmed_units"":155,""year_built"":1993,""year_registered"":2017,""air_conditioning_type"":""NONE"",""heating_type"":""HOT WATER"",""heating_equipment_status"":""ORIGINAL"",""heating_equipment_year_installed"":1993,""date_of_last_inspection_by_tssa"":""FEB 11, 2016"",""tssa_test_records"":""YES"",""cooling_room"":null,""match_basis"":""EXACT_CANONICAL_MUNICIPAL_ADDRESS"",""canonical_address"":""384 MOUNT PLEASANT RD""}","[""toronto_building_permits_cleared""]",2
toronto-geoid:8067836,NO_TOWER_ASSERTION,390 BAY ST,,,8067836,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:13494194,NO_TOWER_ASSERTION,390 THE WEST MALL,,,13494194,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-02-27,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:8676857,NO_TOWER_ASSERTION,40 KING ST W,,,8676857,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-11-24,False,False,,,"[""toronto_building_permits_cleared""]",5
toronto-geoid:6350053,NO_TOWER_ASSERTION,40 ST GEORGE ST,,,6350053,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:10142946,NO_TOWER_ASSERTION,40 WYNFORD DR,,,10142946,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-11-20,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7929642,NO_TOWER_ASSERTION,43 SIMCOE ST,,,7929642,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-09-26,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:5336734,NO_TOWER_ASSERTION,4330 DUFFERIN ST,,,5336734,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-11-12,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:8351179,NO_TOWER_ASSERTION,45 THE ESPLANADE,,,8351179,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-12-27,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:323008,NO_TOWER_ASSERTION,470 CORONATION DR,,,323008,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2022-07-18,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:578559,NO_TOWER_ASSERTION,4950 YONGE ST,,,578559,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-09-26,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7641683,NO_TOWER_ASSERTION,50 GOULD ST,,,7641683,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2022-03-01,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:20097934,NO_TOWER_ASSERTION,50 MATILDA ST,,,20097934,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2021-12-06,False,False,,"{""source_key"":""toronto_apartment_building_registration"",""source_url"":""https://open.toronto.ca/dataset/apartment-building-registration/"",""rsn"":""4155866"",""site_address"":""50 MATILDA ST"",""postal_code"":null,""property_management_company"":""TORONTO COMMUNITY HOUSING CORPORATION"",""property_type"":""TCHC"",""confirmed_storeys"":4,""confirmed_units"":56,""year_built"":2008,""year_registered"":2017,""air_conditioning_type"":""NONE"",""heating_type"":""HOT WATER"",""heating_equipment_status"":""ORIGINAL"",""heating_equipment_year_installed"":2008,""date_of_last_inspection_by_tssa"":""DEC 31, 2014"",""tssa_test_records"":""NO"",""cooling_room"":null,""match_basis"":""EXACT_CANONICAL_MUNICIPAL_ADDRESS"",""canonical_address"":""50 MATILDA ST""}","[""toronto_building_permits_cleared""]",1
toronto-geoid:2854062,NO_TOWER_ASSERTION,522 UNIVERSITY AVE,,,2854062,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-12-24,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:10906589,NO_TOWER_ASSERTION,525 BAY ST,,,10906589,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2023-06-16,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:987965,NO_TOWER_ASSERTION,60 BIRMINGHAM ST,,,987965,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",4
toronto-geoid:536810,NO_TOWER_ASSERTION,6100 LESLIE ST,,,536810,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2024-04-10,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7929870,NO_TOWER_ASSERTION,627 QUEENS QUAY W,,,7929870,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2022-08-09,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:11227032,NO_TOWER_ASSERTION,65 ST GEORGE ST,,,11227032,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2019-01-23,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:7950444,NO_TOWER_ASSERTION,66 COLLIER ST,,,7950444,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-10-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7978539,NO_TOWER_ASSERTION,69 YORKVILLE AVE,,,7978539,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2018-07-17,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7730195,NO_TOWER_ASSERTION,70 ALEXANDER ST,,,7730195,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-10-11,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:874010,NO_TOWER_ASSERTION,70 ST JOSEPH ST,,,874010,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2025-10-20,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:10222905,NO_TOWER_ASSERTION,77 ADELAIDE ST W,,,10222905,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2020-02-13,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:8408205,NO_TOWER_ASSERTION,77 BLOOR ST W,,,8408205,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-01-26,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:836549,NO_TOWER_ASSERTION,77 MAITLAND PL,,,836549,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2020-09-17,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7792587,NO_TOWER_ASSERTION,790 BAY ST,,,7792587,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2019-07-22,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:7642546,NO_TOWER_ASSERTION,81 DALHOUSIE ST,,,7642546,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:364211,NO_TOWER_ASSERTION,825 MILNER AVE,,,364211,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2026-06-08,False,False,,,"[""toronto_building_permits_cleared""]",2
toronto-geoid:12763885,NO_TOWER_ASSERTION,90-94 ADELAIDE ST W,,,12763885,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-08-18,False,False,,,"[""toronto_building_permits_cleared""]",1
toronto-geoid:9531813,NO_TOWER_ASSERTION,99 YORKVILLE AVE,,,9531813,"[""chiller""]","[""HISTORICAL_MECHANICAL_PROJECT""]",[],[],NO_TOWER_ASSERTION,[],[],[],2017-01-20,False,False,,,"[""toronto_building_permits_cleared""]",1
